,Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Trasmission,Price,Gov
5369,Hyundai,Accent,Sedan,Burgundy,2001,Benzine,100000 to 119999,1400 - 1500 CC,Manual,75.0,Cairo
5370,Hyundai,Accent,Sedan,Silver,2000,Benzine,180000 to 199999,1400 - 1500 CC,Manual,65.0,Giza
5371,Hyundai,Accent,Sedan,Blue- Navy Blue,2006,Benzine,10000 to 19999,1000 - 1300 CC,Manual,85.0,Ismailia
5372,Hyundai,Accent,Sedan,Black,2011,Benzine,10000 to 19999,1600 CC,Manual,145.0,Giza
5373,Hyundai,Accent,Sedan,Gold,2013,Benzine,70000 to 79999,1600 CC,Automatic,200.0,Alexandria
5374,Hyundai,Accent,Sedan,Burgundy,2000,Benzine,100000 to 119999,1400 - 1500 CC,Manual,72.0,Alexandria
5375,Hyundai,Accent,Sedan,Gray,2014,Benzine,More than 200000,1600 CC,Automatic,240.0,Cairo
5376,Hyundai,Accent,Sedan,Black,2020,Benzine,40000 to 49999,1600 CC,Automatic,270.0,Giza
5377,Hyundai,Accent,Sedan,Silver,2016,Benzine,100000 to 119999,1600 CC,Automatic,225.0,Cairo
5378,Hyundai,Accent,Sedan,Gold,2000,Benzine,180000 to 199999,1400 - 1500 CC,Manual,95.0,Cairo
5379,Hyundai,Accent,Sedan,Gray,1999,Benzine,10000 to 19999,1000 - 1300 CC,Manual,42.0,Cairo
5380,Hyundai,Accent,Sedan,Black,2010,Benzine,180000 to 199999,1600 CC,Manual,155.0,Cairo
5381,Hyundai,Accent,Sedan,Gray,2012,Benzine,90000 to 99999,1600 CC,Manual,155.0,Alexandria
5382,Hyundai,Accent,Sedan,Silver,2022,Benzine,0 to 9999,1600 CC,Automatic,305.0,Suez
5383,Hyundai,Accent,Sedan,Red,2017,Benzine,140000 to 159999,1600 CC,Automatic,235.0,Cairo
5384,Hyundai,Accent,Sedan,Black,2011,Benzine,10000 to 19999,1600 CC,Manual,165.0,Sharqia
5385,Hyundai,Accent,Sedan,Silver,2007,Benzine,120000 to 139999,1400 - 1500 CC,Manual,95.0,Sohag
5386,Hyundai,Accent,Sedan,Gray,2010,Benzine,90000 to 99999,1400 - 1500 CC,Manual,148.0,Cairo
5387,Hyundai,Accent,Sedan,Black,2012,Benzine,100000 to 119999,1600 CC,Manual,159.0,Alexandria
5388,Hyundai,Accent,Sedan,Silver,2006,Benzine,160000 to 179999,1000 - 1300 CC,Manual,74.0,Kafr al-Sheikh
5389,Hyundai,Accent,Sedan,Red,2012,Benzine,More than 200000,1600 CC,Manual,135.0,Cairo
5390,Hyundai,Accent,Sedan,Red,1998,Benzine,More than 200000,1400 - 1500 CC,Automatic,55.0,Alexandria
5391,Hyundai,Accent,Sedan,Silver,2006,Natural Gas,180000 to 199999,1000 - 1300 CC,Manual,75.0,Giza
5392,Hyundai,Accent,Sedan,Red,1999,Benzine,More than 200000,1000 - 1300 CC,Manual,58.0,Giza
5393,Hyundai,Accent,Sedan,Green,2001,Benzine,70000 to 79999,1400 - 1500 CC,Manual,65.0,Cairo
5394,Hyundai,Accent,Sedan,Black,2010,Benzine,More than 200000,1400 - 1500 CC,Manual,125.0,Giza
5395,Hyundai,Accent,Sedan,White,2005,Natural Gas,More than 200000,1400 - 1500 CC,Manual,58.0,Suez
5396,Hyundai,Accent,Sedan,Burgundy,2007,Benzine,More than 200000,1600 CC,Manual,125.0,Giza
5397,Hyundai,Accent,Sedan,White,2015,Benzine,0 to 9999,1600 CC,Automatic,185.0,Cairo
5398,Hyundai,Accent,Sedan,Silver,1999,Benzine,More than 200000,1400 - 1500 CC,Automatic,85.0,Monufia
5399,Hyundai,Accent,Sedan,Black,2012,Benzine,100000 to 119999,1600 CC,Automatic,160.0,Kafr al-Sheikh
5400,Hyundai,Accent,Sedan,White,1996,Benzine,180000 to 199999,1000 - 1300 CC,Manual,55.0,Qalyubia
5401,Hyundai,Accent,Sedan,Blue- Navy Blue,2011,Benzine,More than 200000,1600 CC,Manual,135.0,Giza
