Brand,Model,Color,Fuel,Kilometers,Trasmission,Price,Gov,Car Age
Kia,Soul,Beige,Natural Gas,24.0,Automatic,420.0,Alexandria,13.0
Jetour,X70,Mocha,Benzine,5.0,Automatic,700.0,Zagazig,2.0
Nissan,Juke,Red,Benzine,12.0,Automatic,375.0,Warraq,9.0
Mercedes,230,Gold,Benzine,10.0,Manual,85.0,6 October,46.0
Chevrolet,Aveo,Black,Benzine,20.0,Manual,175.0,Alexandria,17.0
Chery,Tiggo 7 pro,Gray,Benzine,0.0,Automatic,900.0,Alexandria,1.0
Suzuki,Alto,Red,Benzine,9.0,Manual,85.0,Tanta,15.0
Nissan,Juke,Gray,Benzine,15.0,Automatic,380.0,Sohag,10.0
Chevrolet,Lanos,Gray,Benzine,13.0,Manual,198.0,Dyarb Negm,9.0
Kia,Carens,Light grey,Benzine,15.0,Automatic,380.0,Maadi,11.0
Suzuki,Vitara,Blue,Benzine,9.0,Manual,260.0,Cairo,17.0
Peugeot,301,Black,Benzine,30.0,Automatic,300.0,Tagamo3 - New Cairo,7.0
Hyundai,Verna,Black,Natural Gas,3.0,Manual,170.0,El Haram,13.0
Lada,Granta,Red,Benzine,19.0,Automatic,280.0,Luxor,3.0
Speranza,A516,Black,Benzine,20.0,Manual,140.0,6 October,12.0
MG,5,Black,Benzine,4.0,Automatic,550.0,Cairo,2.0
Suzuki,Swift,Dark red,Benzine,5.0,Manual,53.0,Agamy,30.0
Fiat,Petra,Green,Benzine,10.0,Manual,70.0,Beni Suef,19.0
Fiat,Punto,Gray,Benzine,11.0,Manual,125.0,El Haram,20.0
Chevrolet,Cruze,Black,Benzine,13.0,Automatic,400.0,Alexandria,7.0
Hyundai,Accent,Dark blue,Benzine,21.0,Manual,120.0,Cairo,18.0
Speranza,A113,Silver,Benzine,9.0,Manual,125.0,Suez,12.0
MG,5,Black,Benzine,7.0,Automatic,350.0,Mohandessin,1.0
Seat,Ateca,White,Benzine,7.0,Automatic,1150.0,Madinaty,3.0
Fiat,128,Blue,Benzine,0.0,Manual,26.0,Zagazig,45.0
Chevrolet,Optra,Bronze,Benzine,25.0,Automatic,310.0,Sheikh Zayed City,5.0
Hyundai,Verna,Light grey,Benzine,17.0,Automatic,250.0,Maadi,7.0
Toyota,Corolla,Black,Benzine,3.0,Automatic,780.0,Imbaba,3.0
Fiat,Shahin,White,Benzine,0.0,Manual,85.0,Beni Suef,21.0
Nissan,Juke,Petroleum,Benzine,15.0,Automatic,450.0,Nasr city,11.0
Seat,Ateca,Dark blue,Benzine,3.0,Automatic,1400.0,Tagamo3 - New Cairo,2.0
Volkswagen,Turan,Silver,Benzine,27.0,Automatic,385.0,Cairo,14.0
Renault,Fluence,White,Benzine,9.0,Automatic,415.0,Suez,8.0
Fiat,Tipo,Light grey,Benzine,15.0,Automatic,500.0,Mokattam,2.0
Daewoo,Lanos,Dark red,Benzine,3.0,Manual,110.0,Beni Suef,23.0
Skoda,Roomster,Silver,Benzine,14.0,Automatic,350.0,Sheikh Zayed City,9.0
Opel,Astra,Dark blue,Benzine,16.0,Automatic,280.0,Cairo,15.0
Toyota,Corolla,Silver,Benzine,3.0,Automatic,770.0,Tanta,3.0
Toyota,Corolla,Silver,Benzine,21.0,Automatic,320.0,El Mahalla,16.0
Chevrolet,T-Series,White,Natural Gas,0.0,Manual,580.0,Kafr el-Sheikh,1.0
Jeep,Grand Cherokee,Gray,Benzine,6.0,Automatic,2150.0,Mohandessin,4.0
Skoda,Fabia,Silver,Benzine,27.0,Manual,140.0,Kafr el-Sheikh,19.0
Peugeot,405,Red,Benzine,0.0,Manual,105.0,Kafr Shukr,25.0
Toyota,Corolla,White,Benzine,18.0,Manual,75.0,Mansoura,39.0
Suzuki,Maruti,Dark blue,Benzine,9.0,Manual,105.0,Suez,12.0
Citroën,C5 Aircross,Silver,Benzine,0.0,Automatic,1580.0,6 October,1.0
Chevrolet,Optra,Gray,Benzine,15.0,Automatic,405.0,Cairo,3.0
Brilliance,V3,Gold,Benzine,3.0,Automatic,525.0,El Haram,5.0
Hyundai,Elantra MD,Gold,Benzine,5.0,Automatic,510.0,Zagazig,8.0
Speranza,A516,Black,Benzine,15.0,Manual,115.0,Sohag,17.0
Fiat,Linea,White,Benzine,19.0,Manual,235.0,Cairo,7.0
Hyundai,Excel,Silver,Benzine,0.0,Manual,60.0,Cairo,30.0
Hyundai,Accent,Purple,Benzine,15.0,Manual,135.0,Mansoura,24.0
Fiat,Tipo,Light grey,Benzine,2.0,Automatic,650.0,Cairo,1.0
Volkswagen,Golf 2,Light grey,Benzine,0.0,Manual,95.0,Ain Shams,35.0
Chery,Arrizo 5,Red,Benzine,16.0,Manual,320.0,6 October,1.0
Kia,K3,Gray,Benzine,18.0,Automatic,550.0,Cairo,9.0
Toyota,Corolla,White,Benzine,3.0,Automatic,760.0,Marsa Matrouh,3.0
MG,5,Red,Benzine,2.0,Automatic,550.0,Alexandria,2.0
Peugeot,505,Gold,Benzine,25.0,Manual,90.0,Red Sea,40.0
Hyundai,Avante,White,Benzine,9.0,Automatic,410.0,10th of Ramadan,9.0
Peugeot,505,Mocha,Benzine,0.0,Manual,155.0,Hurghada,37.0
Kia,Soul,Gray,Benzine,15.0,Automatic,455.0,Alexandria,12.0
Fiat,Tipo,Black,Benzine,6.0,Automatic,500.0,El Haram,3.0
Renault,Sandero Step Way,Blue,Benzine,12.0,Automatic,395.0,Cairo,7.0
Alfa Romeo,146,Red,Benzine,11.0,Manual,120.0,Helwan,26.0
Skoda,Kodiaq,Gray,Benzine,1.0,Automatic,1775.0,Shibin el Kom,4.0
Opel,Corsa,Dark blue,Benzine,0.0,Automatic,110.0,Cairo,28.0
Mitsubishi,Lancer EX Shark,White,Benzine,23.0,Automatic,450.0,Tagamo3 - New Cairo,8.0
Chery,Arrizo 5,White,Benzine,1.0,Manual,360.0,Cairo,0.0
BMW,523,Dark green,Benzine,18.0,Automatic,250.0,Port Said,25.0
Nissan,Sunny,Silver,Benzine,6.0,Automatic,465.0,Cairo,1.0
Fiat,Tipo,Silver,Benzine,1.0,Automatic,700.0,Damietta,2.0
Hyundai,Verna,Dark blue,Benzine,20.0,Manual,160.0,Cairo,12.0
Dodge,Ram,Silver,Benzine,13.0,Automatic,875.0,Cairo,16.0
DFSK,Glory 330,Silver,Benzine,27.0,Manual,290.0,Alexandria,4.0
Hyundai,Accent RB,Cyan,Natural Gas,18.0,Automatic,320.0,Shibin El Qanater,11.0
Hyundai,Elantra HD,Light grey,Benzine,1.0,Automatic,630.0,Cairo,1.0
Renault,Logan,Black,Benzine,20.0,Automatic,230.0,Cairo,10.0
Geely,Cool Ray,White,Benzine,0.0,Automatic,980.0,Cairo,1.0
Renault,Kadjar,Blue,Benzine,8.0,Automatic,760.0,Alexandria,4.0
Opel,Insignia,Eggplant,Benzine,16.0,Automatic,570.0,Nasr city,7.0
Chevrolet,Aveo,Red,Benzine,8.0,Automatic,345.0,Nasr city,6.0
Nissan,Sunny,Gray,Benzine,3.0,Automatic,470.0,Nasr city,1.0
Hyundai,Tucson Turbo GDI || Tucson Turbo,White,Benzine,1.0,Automatic,1500.0,Alexandria,1.0
Toyota,Corolla,Silver,Benzine,2.0,Automatic,860.0,El Senbellawein,3.0
Daewoo,Nubira 2,Silver,Benzine,35.0,Manual,130.0,Kafr el-Sheikh,23.0
Nissan,Qashqai,Mocha,Benzine,8.0,Automatic,770.0,Nasr city,5.0
Hyundai,Verna,Silver,Benzine,17.0,Manual,201.0,Beni Suef,13.0
MG,ZS,Silver,Benzine,6.0,Automatic,650.0,Nasr city,2.0
Fiat,Shahin,Dark red,Benzine,0.0,Manual,60.0,Mansoura,28.0
Nissan,Sunny,Red,Benzine,8.0,Automatic,350.0,10th of Ramadan,9.0
Nissan,Sunny,Black,Benzine,4.0,Automatic,395.0,Nasr city,3.0
Jetour,X70,Dark blue,Benzine,3.0,Automatic,780.0,Cairo,2.0
Renault,Logan,Gold,Benzine,14.0,Manual,185.0,El Haram,8.0
Jeep,Renegade,Black,Benzine,11.0,Automatic,650.0,Heliopolis,7.0
Hyundai,Verna,White,Benzine,15.0,Manual,125.0,Giza,11.0
Daewoo,Nubira 2,Silver,Benzine,14.0,Automatic,190.0,Nasr city,24.0
Kia,K3,Gray,Benzine,14.0,Automatic,450.0,Giza,7.0
Hyundai,Elantra HD,Black,Benzine,11.0,Automatic,80.0,Cairo,6.0
Kia,K3,White,Benzine,12.0,Automatic,425.0,Asyut,8.0
Mitsubishi,Lancer Puma,Silver,Benzine,25.0,Automatic,275.0,Sharqia,17.0
Opel,Astra,Black,Benzine,15.0,Automatic,325.0,Nasr city,15.0
Fiat,Siena,Black,Benzine,23.0,Manual,60.0,Alexandria,22.0
DFSK,Glory Van,Dark red,Benzine,18.0,Manual,100.0,Cairo,11.0
Toyota,Corolla,White,Benzine,2.0,Automatic,865.0,Cairo,3.0
Skoda,Felicia,Red,Benzine,8.0,Manual,85.0,Tagamo3 - New Cairo,27.0
Volkswagen,Passat,Black,Benzine,19.0,Automatic,550.0,Cairo,11.0
Mercedes,E 200,Black,Benzine,30.0,Automatic,450.0,Maadi,17.0
Suzuki,Ciaz,Mocha,Benzine,8.0,Automatic,425.0,Nasr city,7.0
Mercedes,C 240,Silver,Benzine,22.0,Automatic,465.0,Tagamo3 - New Cairo,20.0
Jeep,Liberty,Red,Benzine,17.0,Automatic,320.0,Cairo,19.0
Chevrolet,Optra,Red,Benzine,17.0,Automatic,315.0,Cairo,6.0
Peugeot,508,White,Benzine,0.0,Automatic,440.0,Mansoura,10.0
Proton,Gen 2,Silver,Benzine,20.0,Automatic,230.0,6 October,16.0
Nissan,Sentra,Black,Benzine,10.0,Automatic,540.0,Maadi,4.0
Chevrolet,Optra,Light grey,Benzine,3.0,Automatic,460.0,Nasr city,1.0
Daewoo,Lanos,Cyan,Benzine,13.0,Manual,160.0,Beheira,18.0
Kia,Sorento,Silver,Benzine,4.0,Automatic,1500.0,Cairo,3.0
Skoda,Fantasia,Green,Benzine,13.0,Automatic,420.0,Port Said,12.0
Mahindra,Scorpio,Black,Natural Gas,22.0,Automatic,200.0,6 October,12.0
Nissan,Sunny,Petroleum,Benzine,15.0,Manual,260.0,Monufia,13.0
Fiat,Punto,Black,Benzine,25.0,Manual,200.0,Cairo,13.0
Hyundai,Excel,Dark red,Benzine,0.0,Manual,63.0,El Minya,29.0
Volkswagen,Tiguan,Dark blue,Benzine,9.0,Manual,470.0,Maadi,13.0
Mitsubishi,Lancer Puma,Blue,Benzine,15.0,Manual,235.0,Kafr el-Sheikh,14.0
Isuzu,D max,White,Natural Gas,2.0,Manual,475.0,El Mahalla,8.0
Mercedes,GLA,Silver,Benzine,2.0,Automatic,1850.0,Maadi,3.0
Hyundai,Elantra AD,Red,Benzine,10.0,Automatic,600.0,Sadat City,4.0
Chevrolet,Cruze,Silver,Benzine,14.0,Automatic,220.0,Heliopolis,14.0
Fiat,Ritmo,Brown,Benzine,0.0,Automatic,33.0,6 October,40.0
Jeep,Wrangler,Silver,Benzine,20.0,Automatic,800.0,Port Said,11.0
Skoda,Octavia A7,Brown,Benzine,10.0,Automatic,720.0,Gharbia,7.0
Mazda,3 || Mazda 3,Black,Benzine,9.0,Automatic,450.0,Cairo,6.0
