Brand,Model,Fuel,Car Age,Trasmission,Kilometers Group,Gov,Price,grouping
Audi,A6,Benzine,27.0,Automatic,25.0,El Wadi El Gedid,120.0,Audi A6 Benzine Automatic 27.0 25.0
Audi,Q2,Benzine,3.0,Automatic,5.0,Madinaty,1000.0,Audi Q2 Benzine Automatic 3.0 5.0
Audi,Q2,Benzine,3.0,Automatic,10.0,Shibin el Kom,750.0,Audi Q2 Benzine Automatic 3.0 10.0
Audi,Q3,Benzine,0.0,Automatic,0.0,Tagamo3 - New Cairo,1545.0,Audi Q3 Benzine Automatic 0.0 0.0
Audi,Q3,Benzine,1.0,Automatic,0.0,Mokattam,1550.0,Audi Q3 Benzine Automatic 1.0 0.0
Audi,Q3,Benzine,1.0,Automatic,0.0,Sheraton,2400.0,Audi Q3 Benzine Automatic 1.0 0.0
Audi,Q3,Benzine,1.0,Automatic,0.0,Tagamo3 - New Cairo,1837.5,Audi Q3 Benzine Automatic 1.0 0.0
Audi,Q3,Benzine,2.0,Automatic,0.0,Sheraton,1700.0,Audi Q3 Benzine Automatic 2.0 0.0
Audi,Q3,Benzine,6.0,Automatic,0.0,Beheira,880.0,Audi Q3 Benzine Automatic 6.0 0.0
Audi,Q3,Benzine,8.0,Automatic,15.0,Heliopolis,775.0,Audi Q3 Benzine Automatic 8.0 15.0
Audi,Q3,Benzine,9.0,Automatic,20.0,Heliopolis,630.0,Audi Q3 Benzine Automatic 9.0 20.0
Audi,Q5,Benzine,7.0,Automatic,0.0,Giza,1700.0,Audi Q5 Benzine Automatic 7.0 0.0
Audi,Q5,Benzine,12.0,Automatic,15.0,Cairo,700.0,Audi Q5 Benzine Automatic 12.0 15.0
Audi,Q5,Benzine,12.0,Automatic,15.0,Tagamo3 - New Cairo,800.0,Audi Q5 Benzine Automatic 12.0 15.0
Audi,Q5,Benzine,12.0,Automatic,20.0,Port Said,700.0,Audi Q5 Benzine Automatic 12.0 20.0
Audi,Q5,Benzine,13.0,Automatic,10.0,Cairo,750.0,Audi Q5 Benzine Automatic 13.0 10.0
Audi,Q7,Benzine,1.0,Automatic,0.0,Sheikh Zayed City,3225.0,Audi Q7 Benzine Automatic 1.0 0.0
Audi,Q7,Benzine,4.0,Automatic,0.0,Shobra,2250.0,Audi Q7 Benzine Automatic 4.0 0.0
Audi,Q7,Benzine,4.0,Automatic,5.0,Al Shorouk,2500.0,Audi Q7 Benzine Automatic 4.0 5.0
Audi,Q7,Benzine,4.0,Automatic,5.0,El Katameya,2500.0,Audi Q7 Benzine Automatic 4.0 5.0
Audi,Q7,Benzine,7.0,Automatic,5.0,Heliopolis,2500.0,Audi Q7 Benzine Automatic 7.0 5.0
Audi,Q7,Benzine,9.0,Automatic,5.0,Cairo,1800.0,Audi Q7 Benzine Automatic 9.0 5.0
Audi,Q7,Benzine,11.0,Automatic,5.0,Heliopolis,1500.0,Audi Q7 Benzine Automatic 11.0 5.0
Audi,Q7,Benzine,15.0,Automatic,15.0,Tagamo3 - New Cairo,650.0,Audi Q7 Benzine Automatic 15.0 15.0
Audi,Q7,Benzine,15.0,Automatic,20.0,Sheikh Zayed City,800.0,Audi Q7 Benzine Automatic 15.0 20.0
Audi,Q7,Electric,0.0,Automatic,0.0,Cairo,2640.0,Audi Q7 Electric Automatic 0.0 0.0
Audi,Q8,Benzine,1.0,Automatic,0.0,6 October,4750.0,Audi Q8 Benzine Automatic 1.0 0.0
Audi,Q8,Benzine,1.0,Automatic,0.0,Abu Qir,4500.0,Audi Q8 Benzine Automatic 1.0 0.0
BMW,116,Benzine,9.0,Automatic,20.0,Cairo,480.0,BMW 116 Benzine Automatic 9.0 20.0
BMW,116,Benzine,11.0,Automatic,15.0,Tagamo3 - New Cairo,560.0,BMW 116 Benzine Automatic 11.0 15.0
BMW,116,Benzine,13.0,Automatic,15.0,Tagamo3 - New Cairo,440.0,BMW 116 Benzine Automatic 13.0 15.0
BMW,116,Benzine,13.0,Automatic,20.0,Al Shorouk,355.0,BMW 116 Benzine Automatic 13.0 20.0
BMW,116,Benzine,14.0,Automatic,15.0,Cairo,360.0,BMW 116 Benzine Automatic 14.0 15.0
BMW,116,Benzine,14.0,Automatic,20.0,Madinaty,435.0,BMW 116 Benzine Automatic 14.0 20.0
BMW,116,Benzine,15.0,Manual,25.0,Warraq,230.0,BMW 116 Benzine Manual 15.0 25.0
BMW,116,Benzine,16.0,Manual,15.0,Borg el arab,250.0,BMW 116 Benzine Manual 16.0 15.0
BMW,116,Benzine,16.0,Manual,25.0,Madinaty,380.0,BMW 116 Benzine Manual 16.0 25.0
BMW,116,Benzine,17.0,Manual,25.0,6 October,280.0,BMW 116 Benzine Manual 17.0 25.0
BMW,116,Benzine,18.0,Manual,0.0,Nasr city,260.0,BMW 116 Benzine Manual 18.0 0.0
BMW,118,Benzine,3.0,Automatic,5.0,Heliopolis,1250.0,BMW 118 Benzine Automatic 3.0 5.0
BMW,118,Benzine,6.0,Automatic,5.0,Dokki,900.0,BMW 118 Benzine Automatic 6.0 5.0
BMW,118,Benzine,7.0,Automatic,10.0,Cairo,820.0,BMW 118 Benzine Automatic 7.0 10.0
BMW,118,Benzine,9.0,Automatic,15.0,Cairo,720.0,BMW 118 Benzine Automatic 9.0 15.0
BMW,118,Benzine,9.0,Automatic,15.0,Red Sea,580.0,BMW 118 Benzine Automatic 9.0 15.0
BMW,118,Benzine,10.0,Automatic,15.0,Damietta,530.0,BMW 118 Benzine Automatic 10.0 15.0
BMW,118,Benzine,13.0,Automatic,15.0,Kerdasa,480.0,BMW 118 Benzine Automatic 13.0 15.0
BMW,118,Benzine,22.0,Automatic,20.0,Sheraton,260.0,BMW 118 Benzine Automatic 22.0 20.0
BMW,120,Benzine,7.0,Automatic,5.0,Cairo,900.0,BMW 120 Benzine Automatic 7.0 5.0
BMW,218,Benzine,2.0,Automatic,0.0,6 October,2200.0,BMW 218 Benzine Automatic 2.0 0.0
BMW,218 i,Benzine,2.0,Automatic,0.0,Alexandria,1250.0,BMW 218 i Benzine Automatic 2.0 0.0
BMW,218 i,Benzine,2.0,Automatic,0.0,Rosetta,1500.0,BMW 218 i Benzine Automatic 2.0 0.0
BMW,218 i,Benzine,2.0,Automatic,0.0,Tagamo3 - New Cairo,1150.0,BMW 218 i Benzine Automatic 2.0 0.0
BMW,218 i,Benzine,2.0,Automatic,5.0,Tagamo3 - New Cairo,2150.0,BMW 218 i Benzine Automatic 2.0 5.0
BMW,218 i,Benzine,3.0,Automatic,0.0,Cairo,1250.0,BMW 218 i Benzine Automatic 3.0 0.0
BMW,218 i,Benzine,7.0,Automatic,15.0,Tanta,715.0,BMW 218 i Benzine Automatic 7.0 15.0
BMW,220,Benzine,15.0,Automatic,20.0,Sohag,350.0,BMW 220 Benzine Automatic 15.0 20.0
BMW,3 Series,Benzine,36.0,Manual,25.0,Cairo,98.0,BMW 3 Series Benzine Manual 36.0 25.0
BMW,316,Benzine,8.0,Automatic,5.0,Cairo,672.67,BMW 316 Benzine Automatic 8.0 5.0
BMW,316,Benzine,8.0,Automatic,5.0,Dyarb Negm,550.0,BMW 316 Benzine Automatic 8.0 5.0
BMW,316,Benzine,8.0,Automatic,10.0,Giza,740.0,BMW 316 Benzine Automatic 8.0 10.0
BMW,316,Benzine,8.0,Automatic,10.0,Tagamo3 - New Cairo,650.0,BMW 316 Benzine Automatic 8.0 10.0
BMW,316,Benzine,8.0,Automatic,15.0,6 October,679.5,BMW 316 Benzine Automatic 8.0 15.0
BMW,316,Benzine,8.0,Automatic,15.0,Heliopolis,750.0,BMW 316 Benzine Automatic 8.0 15.0
BMW,316,Benzine,8.0,Automatic,20.0,6 October,677.5,BMW 316 Benzine Automatic 8.0 20.0
BMW,316,Benzine,8.0,Automatic,25.0,Port Said,650.0,BMW 316 Benzine Automatic 8.0 25.0
BMW,316,Benzine,9.0,Automatic,10.0,Alexandria,600.0,BMW 316 Benzine Automatic 9.0 10.0
BMW,316,Benzine,9.0,Automatic,15.0,El Haram,450.0,BMW 316 Benzine Automatic 9.0 15.0
