Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Hyundai,Accent,Sedan,White,Natural Gas,1,1.2,Manual,75.0,Port Said,0,22
Hyundai,Accent,Sedan,Gray,Benzine,9,1.6,Automatic,170.0,Cairo,0,12
Hyundai,Accent,Sedan,Green,Benzine,15,1.2,Manual,58.0,Beni Suef,0,24
Hyundai,Accent,Sedan,Other Color,Benzine,15,1.5,Manual,67.0,Cairo,0,23
Hyundai,Accent,Sedan,Burgundy,Benzine,6,1.6,Automatic,195.0,Cairo,0,7
Hyundai,Accent,Sedan,Red,Benzine,15,1.6,Manual,78.0,Giza,0,15
Hyundai,Accent,Sedan,Burgundy,Benzine,1,1.5,Manual,65.0,Monufia,0,25
Hyundai,Accent,Sedan,White,Benzine,10,1.6,Automatic,230.0,Cairo,0,8
Hyundai,Accent,Sedan,White,Natural Gas,6,1.5,Manual,60.0,Suez,0,22
Hyundai,Accent,Sedan,White,Natural Gas,9,1.5,Manual,52.0,Suez,0,18
Hyundai,Accent,Sedan,Green,Benzine,1,1.2,Manual,60.0,Dakahlia,0,24
Hyundai,Accent,Sedan,Silver,Benzine,12,1.6,Automatic,173.0,Cairo,0,11
Hyundai,Accent,Sedan,Other Color,Benzine,0,1.6,Manual,10.0,Qena,0,13
Hyundai,Accent,Sedan,Other Color,Benzine,15,1.2,Manual,78.0,Red Sea,0,17
Hyundai,Accent,Sedan,Other Color,Benzine,3,1.2,Manual,65.0,Fayoum,0,17
Hyundai,Accent,Sedan,Red,Benzine,1,1.6,Automatic,295.0,Minya,0,2
Hyundai,Accent,Sedan,Other Color,Benzine,1,1.6,Manual,72.0,Dakahlia,0,23
Hyundai,Accent,Sedan,Gray,Benzine,10,1.6,Manual,155.0,Giza,0,10
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,11,1.6,Automatic,245.0,Cairo,0,7
Hyundai,Accent,Sedan,Beige,Benzine,11,1.2,Manual,80.0,Cairo,0,17
Hyundai,Accent,Sedan,White,Benzine,15,1.5,Manual,25.0,Sharqia,0,25
Hyundai,Accent,Sedan,Black,Benzine,15,1.6,Manual,110.0,Giza,0,12
Hyundai,Accent,Sedan,Gray,Benzine,12,1.2,Manual,73.0,Ismailia,0,19
Hyundai,Accent,Sedan,Black,Benzine,8,1.6,Automatic,250.0,Dakahlia,0,4
Hyundai,Accent,Sedan,Green,Benzine,10,1.5,Manual,65.0,Luxor,0,23
Hyundai,Accent,Sedan,Gray,Benzine,0,1.2,Manual,135.0,Alexandria,0,13
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,13,1.6,Manual,128.0,Alexandria,0,15
Hyundai,Accent,Sedan,Other Color,Benzine,13,1.6,Manual,70.0,Monufia,0,22
Hyundai,Accent,Sedan,Silver,Benzine,10,1.2,Manual,83.0,Matruh,0,17
Hyundai,Accent,Sedan,Black,Benzine,15,1.6,Automatic,175.0,Gharbia,0,11
Hyundai,Accent,Sedan,Burgundy,Benzine,12,1.6,Automatic,250.0,Giza,0,4
Hyundai,Accent,Sedan,Other Color,Benzine,0,1.6,Manual,135.0,Cairo,0,13
Hyundai,Accent,Sedan,Yellow,Benzine,9,1.6,Manual,57.0,Alexandria,0,25
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,15,1.2,Manual,55.0,Cairo,0,23
Hyundai,Accent,Sedan,Other Color,Benzine,0,1.6,Automatic,29.5,Giza,0,2
