Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Hyundai,Elantra HD,,Gray,Benzine,0,2.5,Automatic,579.0,El Haram,1,0
Chevrolet,Optra,,Cyan,Benzine,18,2.5,Automatic,280.0,10th of Ramadan,1,12
Fiat,125,,White,Benzine,0,2.5,Manual,23.0,Sadat City,1,36
Chevrolet,Lanos,,Silver,Benzine,28,2.5,Manual,155.0,Cairo,1,11
Fiat,Shahin,,Black,Benzine,0,2.5,Manual,42.0,Alexandria,1,27
Hyundai,Elantra HD,,Gold,Benzine,7,2.5,Automatic,475.0,El Haram,1,4
Fiat,128,,Red,Benzine,0,2.5,Manual,30.0,El Minya,1,25
Fiat,Siena,,Cyan,Benzine,5,2.5,Manual,75.0,Alexandria,1,21
Chevrolet,Optra,,Black,Benzine,18,2.5,Automatic,375.0,El Haram,1,3
Chevrolet,Optra,,Silver,Benzine,31,2.5,Automatic,290.0,6 October,1,7
Hyundai,Excel,,Silver,Benzine,15,2.5,Automatic,85.0,Cairo,1,31
Fiat,Tipo,,Red,Benzine,11,2.5,Automatic,390.0,6 October,1,5
Fiat,128,,White,Benzine,0,2.5,Manual,33.0,Ain Shams,1,33
Hyundai,Matrix,,Black,Benzine,25,2.5,Automatic,330.0,El Mahalla,1,16
Fiat,128,,Red,Benzine,0,2.5,Manual,27.0,Nasr city,1,40
Hyundai,Tucson,,Red,Benzine,10,2.5,Automatic,200.0,6 October,1,4
Hyundai,Elantra,,Dark blue,Benzine,25,2.5,Automatic,288.0,Qalyubia,1,15
Fiat,Shahin,,Black,Benzine,20,2.5,Manual,60.0,Cairo,1,28
Fiat,Tipo,,Dark green,Benzine,4,2.5,Manual,390.0,Obour City,1,2
Fiat,Regata,,Red,Benzine,0,2.5,Manual,25.0,Saft El Laban,1,38
Fiat,Tipo,,Mocha,Benzine,6,2.5,Automatic,475.0,Mansoura,1,4
Hyundai,Elantra MD,,Red,Benzine,14,2.5,Automatic,340.0,6 October,1,11
Chevrolet,Optra,,Dark blue,Benzine,4,2.5,Automatic,410.0,Helwan,1,2
Hyundai,Elantra,,Black,Benzine,0,2.5,Automatic,240.0,Abu Kabir,1,17
Hyundai,Elantra MD,,Red,Benzine,14,2.5,Automatic,385.0,Beni Suef,1,10
Chevrolet,Optra,,Brown,Benzine,17,2.5,Automatic,250.0,Ismailia,1,7
Chevrolet,Optra,,Blue,Benzine,8,2.5,Automatic,355.0,El Haram,1,4
Hyundai,Tucson,,Black,Benzine,5,2.5,Automatic,900.0,El Minya,1,3
